nm, %R
2400.000000, 12.306736
2395.000000, -16.116391
2390.000000, 9.252157
2385.000000, 22.827149
2380.000000, 18.250749
2375.000000, 7.354389
2370.000000, 3.859856
2365.000000, 2.596976
2360.000000, 4.595724
2355.000000, 7.346764
2350.000000, 9.132428
2345.000000, -4.843518
2340.000000, 10.544041
2335.000000, 21.994953
2330.000000, 8.148417
2325.000000, 10.099890
2320.000000, 2.508313
2315.000000, 20.004387
2310.000000, 4.655260
2305.000000, 12.483225
2300.000000, 17.113732
2295.000000, 2.373237
2290.000000, 19.967582
2285.000000, 0.191348
2280.000000, 11.088867
2275.000000, 9.388004
2270.000000, 9.896750
2265.000000, 10.926734
2260.000000, 10.405000
2255.000000, 15.126132
2250.000000, 6.296195
2245.000000, 15.133077
2240.000000, 5.597928
2235.000000, 2.395941
2230.000000, 8.596701
2225.000000, 6.577000
2220.000000, 10.649985
2215.000000, 2.765495
2210.000000, 11.669850
2205.000000, 11.351367
2200.000000, 7.505296
2195.000000, 5.387008
2190.000000, 11.309650
2185.000000, 9.422095
2180.000000, 5.166279
2175.000000, 7.649467
2170.000000, 11.356979
2165.000000, 16.877001
2160.000000, 9.005992
2155.000000, 15.560353
2150.000000, 13.073563
2145.000000, 6.324000
2140.000000, -1.835897
2135.000000, 3.452287
2130.000000, 12.658471
2125.000000, 9.186642
2120.000000, 8.434096
2115.000000, 11.422624
2110.000000, 6.977422
2105.000000, 14.436674
2100.000000, 11.292133
2095.000000, 7.973967
2090.000000, 4.626001
2085.000000, 11.515423
2080.000000, 11.052174
2075.000000, 8.333844
2070.000000, 9.841742
2065.000000, 8.805871
2060.000000, 7.609976
2055.000000, 9.551332
2050.000000, 10.238731
2045.000000, 10.449811
2040.000000, 10.740762
2035.000000, 8.499836
2030.000000, 4.279754
2025.000000, 6.180547
2020.000000, 7.778421
2015.000000, 7.995208
2010.000000, 9.296422
2005.000000, 10.309031
2000.000000, 11.093004
1995.000000, 10.406286
1990.000000, 9.865460
1985.000000, 10.883559
1980.000000, 9.678994
1975.000000, 10.017404
1970.000000, 10.689244
1965.000000, 9.254299
1960.000000, 10.577762
1955.000000, 9.656905
1950.000000, 10.846365
1945.000000, 10.910534
1940.000000, 12.335483
1935.000000, 10.675834
1930.000000, 8.540306
1925.000000, 9.559385
1920.000000, 11.431354
1915.000000, 10.620408
1910.000000, 11.676261
1905.000000, 10.928946
1900.000000, 9.612750
1895.000000, 9.420200
1890.000000, 9.271275
1885.000000, 9.887683
1880.000000, 9.368307
1875.000000, 9.109329
1870.000000, 10.705900
1865.000000, 9.794692
1860.000000, 10.054175
1855.000000, 10.077689
1850.000000, 9.840086
1845.000000, 10.140870
1840.000000, 10.719020
1835.000000, 11.017051
1830.000000, 10.602918
1825.000000, 9.086155
1820.000000, 9.540525
1815.000000, 9.852623
1810.000000, 9.106185
1805.000000, 9.599551
1800.000000, 10.980679
1795.000000, 10.790950
1790.000000, 9.689057
1785.000000, 9.408757
1780.000000, 9.320296
1775.000000, 9.640705
1770.000000, 10.313919
1765.000000, 9.832848
