nm, %T
2400.000000, 93.103581
2395.000000, 92.728274
2390.000000, 93.965120
2385.000000, 92.774649
2380.000000, 92.995553
2375.000000, 92.198091
2370.000000, 94.109436
2365.000000, 93.852549
2360.000000, 93.500520
2355.000000, 92.836977
2350.000000, 93.176509
2345.000000, 93.945585
2340.000000, 93.190077
2335.000000, 92.466546
2330.000000, 92.790662
2325.000000, 92.645566
2320.000000, 92.831277
2315.000000, 93.012872
2310.000000, 93.022078
2305.000000, 93.145140
2300.000000, 92.799341
2295.000000, 93.544099
2290.000000, 92.916094
2285.000000, 94.143260
2280.000000, 93.588932
2275.000000, 93.187923
2270.000000, 93.508335
2265.000000, 92.678324
2260.000000, 92.313920
2255.000000, 92.821876
2250.000000, 93.629813
2245.000000, 93.244728
2240.000000, 93.652419
2235.000000, 92.241278
2230.000000, 92.253638
2225.000000, 93.610688
2220.000000, 93.339885
2215.000000, 92.558499
2210.000000, 92.941915
2205.000000, 91.796579
2200.000000, 93.100116
2195.000000, 92.788148
2190.000000, 93.263841
2185.000000, 93.271056
2180.000000, 93.711449
2175.000000, 92.967855
2170.000000, 93.478306
2165.000000, 93.290146
2160.000000, 92.938630
2155.000000, 93.174087
2150.000000, 93.455271
2145.000000, 92.991807
2140.000000, 93.398033
2135.000000, 93.069944
2130.000000, 92.749417
2125.000000, 93.256909
2120.000000, 93.702799
2115.000000, 93.321931
2110.000000, 93.150191
2105.000000, 93.204713
2100.000000, 93.455659
2095.000000, 93.472974
2090.000000, 93.293461
2085.000000, 93.158159
2080.000000, 93.080842
2075.000000, 93.169346
2070.000000, 93.140305
2065.000000, 93.191633
2060.000000, 93.310253
2055.000000, 93.041967
2050.000000, 93.068528
2045.000000, 93.522804
2040.000000, 93.565521
2035.000000, 93.564896
2030.000000, 93.553429
2025.000000, 93.278063
2020.000000, 93.347636
2015.000000, 93.441817
2010.000000, 93.355735
2005.000000, 93.322647
2000.000000, 93.246496
1995.000000, 93.225898
1990.000000, 93.414130
1985.000000, 93.409973
1980.000000, 93.420243
1975.000000, 93.458337
1970.000000, 93.492934
1965.000000, 93.273033
1960.000000, 93.462931
1955.000000, 93.522830
1950.000000, 93.436628
1945.000000, 93.345984
1940.000000, 93.218379
1935.000000, 92.943302
1930.000000, 93.332892
1925.000000, 93.399336
