nm, %T
2400.000000, 76.762699
2395.000000, 77.218845
2390.000000, 77.183541
2385.000000, 73.823823
2380.000000, 75.255149
2375.000000, 75.042680
2370.000000, 75.874129
2365.000000, 74.966536
2360.000000, 76.568695
2355.000000, 76.030244
2350.000000, 75.777845
2345.000000, 77.140316
2340.000000, 75.809007
2335.000000, 76.331870
2330.000000, 75.912782
2325.000000, 75.920724
2320.000000, 76.503937
2315.000000, 76.244180
2310.000000, 75.984254
2305.000000, 76.527835
2300.000000, 76.736333
2295.000000, 76.047916
2290.000000, 75.596718
2285.000000, 75.385024
2280.000000, 75.812397
2275.000000, 75.356218
2270.000000, 75.796556
2265.000000, 74.733400
2260.000000, 75.589523
2255.000000, 75.797183
2250.000000, 75.140107
2245.000000, 75.249862
2240.000000, 75.879929
2235.000000, 74.435026
2230.000000, 73.830168
2225.000000, 74.781513
2220.000000, 75.850582
2215.000000, 76.242375
2210.000000, 76.102078
2205.000000, 75.268926
2200.000000, 74.919332
2195.000000, 75.319046
2190.000000, 75.303326
2185.000000, 75.604868
2180.000000, 75.866229
2175.000000, 74.976017
2170.000000, 75.756893
2165.000000, 75.384100
2160.000000, 75.789523
2155.000000, 75.619846
2150.000000, 76.244038
2145.000000, 75.429806
2140.000000, 75.699628
2135.000000, 75.869096
2130.000000, 76.138144
2125.000000, 76.099931
2120.000000, 76.093672
2115.000000, 75.189737
2110.000000, 75.169196
2105.000000, 75.782078
2100.000000, 75.605112
2095.000000, 75.969680
2090.000000, 75.713540
2085.000000, 75.124388
2080.000000, 75.382096
2075.000000, 75.237147
2070.000000, 75.574412
2065.000000, 75.985246
2060.000000, 75.743070
2055.000000, 75.140118
2050.000000, 75.460354
2045.000000, 75.852991
2040.000000, 75.848188
2035.000000, 75.795809
2030.000000, 75.439306
2025.000000, 75.264374
2020.000000, 75.307020
2015.000000, 75.582351
2010.000000, 75.714220
2005.000000, 75.587320
2000.000000, 75.639852
1995.000000, 75.254177
1990.000000, 75.532259
1985.000000, 75.429317
1980.000000, 75.389740
1975.000000, 75.324524
1970.000000, 75.284707
1965.000000, 75.135299
1960.000000, 75.444023
1955.000000, 75.339676
1950.000000, 75.321060
1945.000000, 75.603952
1940.000000, 75.556982
1935.000000, 75.466766
1930.000000, 75.519947
1925.000000, 75.374094
1920.000000, 75.348669
1915.000000, 75.457593
1910.000000, 75.612561
1905.000000, 75.211509
1900.000000, 74.967529
1895.000000, 74.858471
1890.000000, 74.959817
1885.000000, 75.199632
1880.000000, 75.073800
1875.000000, 74.746609
1870.000000, 74.954794
1865.000000, 74.903048
1860.000000, 74.826168
1855.000000, 75.133250
1850.000000, 75.201732
1845.000000, 74.765834
1840.000000, 74.780507
1835.000000, 74.787302
1830.000000, 74.647266
1825.000000, 74.759259
1820.000000, 74.723086
1815.000000, 74.608860
1810.000000, 74.681978
1805.000000, 74.901486
1800.000000, 74.799888
1795.000000, 74.776693
1790.000000, 74.671596
1785.000000, 74.552847
1780.000000, 74.847581
1775.000000, 74.860222
1770.000000, 74.781860
1765.000000, 74.902388
1760.000000, 74.821324
1755.000000, 74.718295
1750.000000, 74.660988
1745.000000, 74.623122
1740.000000, 74.620670
1735.000000, 74.706935
1730.000000, 74.558936
1725.000000, 74.365350
1720.000000, 74.433760
1715.000000, 74.568259
1710.000000, 74.614928
1705.000000, 74.668766
1700.000000, 74.323779
1695.000000, 74.274273
1690.000000, 74.550791
1685.000000, 74.418838
1680.000000, 74.238453
1675.000000, 74.321839
1670.000000, 74.354280
1665.000000, 74.391299
1660.000000, 74.529956
1655.000000, 74.297039
1650.000000, 74.238573
1645.000000, 74.254982
1640.000000, 74.268377
1635.000000, 74.183877
1630.000000, 74.345561
1625.000000, 74.173529
1620.000000, 74.061260
1615.000000, 74.071134
1610.000000, 74.113815
1605.000000, 74.038755
1600.000000, 74.046854
1595.000000, 73.929552
1590.000000, 73.848179
1585.000000, 73.928780
1580.000000, 73.918464
1575.000000, 73.831680
1570.000000, 73.912469
1565.000000, 73.909013
1560.000000, 73.798730
1555.000000, 73.889810
1550.000000, 73.802345
1545.000000, 73.814858
1540.000000, 73.813386
1535.000000, 73.703183
1530.000000, 73.631437
1525.000000, 73.533060
1520.000000, 73.548523
1515.000000, 73.604887
1510.000000, 73.586164
1505.000000, 73.578957
1500.000000, 73.508579
1495.000000, 73.610880
1490.000000, 73.509057
1485.000000, 73.516774
1480.000000, 73.544012
1475.000000, 73.500775
1470.000000, 73.498465
1465.000000, 73.503294
1460.000000, 73.394354
1455.000000, 73.357804
1450.000000, 73.262048
1445.000000, 73.222263
1440.000000, 73.220176
1435.000000, 73.217631
1430.000000, 73.177494
1425.000000, 73.234543
1420.000000, 73.352209
1415.000000, 73.187304
1410.000000, 73.177953
1405.000000, 73.250762
1400.000000, 73.197950
1395.000000, 73.107867
1390.000000, 73.152593
1385.000000, 73.162224
1380.000000, 72.967049
1375.000000, 72.881235
1370.000000, 72.855788
1365.000000, 72.967256
1360.000000, 72.915867
1355.000000, 72.759773
1350.000000, 72.675102
1345.000000, 72.698772
1340.000000, 72.791406
1335.000000, 72.780575
1330.000000, 72.713439
1325.000000, 72.658537
1320.000000, 72.651572
1315.000000, 72.608152
1310.000000, 72.605185
1305.000000, 72.648016
1300.000000, 72.654976
1295.000000, 72.651401
1290.000000, 72.586518
1285.000000, 72.638644
1280.000000, 72.616390
1275.000000, 72.594813
1270.000000, 72.652420
1265.000000, 72.459950
1260.000000, 72.501561
1255.000000, 72.522311
1250.000000, 72.443091
